nl,ml
15-Oct-04,2004/10/15
03.07.83,1983/7/3
friday january 2 1981,1981/1/2
friday may 2 2014,2014/5/2
saturday may 7 1977,1977/5/7
05.08.81,1981/8/5
monday september 30 1974,1974/9/30
march 23 1996,1996/3/23
19-Aug-06,2006/8/19
9-Apr-95,1995/4/9
24 12 07,2007/12/24
sunday november 10 2002,2002/11/10
tuesday october 24 1978,1978/10/24
jan 6 1994,1994/1/6
wednesday may 15 1985,1985/5/15
monday july 26 2004,2004/7/26
friday february 26 1982,1982/2/26
december 21 2006,2006/12/21
22-Nov-79,1979/11/22
17-Aug-81,1981/8/17
sunday january 30 2005,2005/1/30
july 22 1980,1980/7/22
17.08.01,2001/8/17
1-Jun-88,1988/6/1
sunday april 28 1991,1991/4/28
1/25/15,2015/1/25
saturday july 19 1975,1975/7/19
jul 15 2012,2012/7/15
13-Feb-96,1996/2/13
july 2 1992,1992/7/2
5-Jan-82,1982/1/5
jun 17 1976,1976/6/17
january 5 2015,2015/1/5
18-Dec-03,2003/12/18
monday august 17 1970,1970/8/17
29-Jan-87,1987/1/29
thursday january 20 1994,1994/1/20
thursday august 30 1979,1979/8/30
june 9 1989,1989/6/9
21-Apr-13,2013/4/21
3-Mar-87,1987/3/3
sunday june 9 1985,1985/6/9
april 16 2013,2013/4/16
saturday october 15 2005,2005/10/15
wednesday january 13 2016,2016/1/13
october 28 1997,1997/10/28
tuesday october 9 1984,1984/10/9
october 1 2002,2002/10/1
28-Aug-01,2001/8/28
november 6 1987,1987/11/6
wednesday december 17 1980,1980/12/17
january 17 2003,2003/1/17
5/12/91,1991/5/12
sunday october 23 2011,2011/10/23
monday july 31 1972,1972/7/31
sunday may 16 1971,1971/5/16
22-Jan-72,1972/1/22
friday january 10 1975,1975/1/10
14-Mar-06,2006/3/14
may 10 2014,2014/5/10
sunday march 31 1974,1974/3/31
saturday september 18 1993,1993/9/18
27 11 02,2002/11/27
10-Nov-85,1985/11/10
wednesday november 4 1998,1998/11/4
friday march 20 1970,1970/3/20
february 14 1989,1989/2/14
sunday december 30 2012,2012/12/30
wednesday october 14 1981,1981/10/14
saturday october 20 1979,1979/10/20
monday may 21 2007,2007/5/21
23-Feb-15,2015/2/23
july 13 1992,1992/7/13
13-Nov-80,1980/11/13
saturday february 22 1992,1992/2/22
25-Jun-73,1973/6/25
20-Aug-74,1974/8/20
sunday january 6 1991,1991/1/6
thursday august 8 2002,2002/8/8
7-Jul-08,2008/7/7
friday november 4 1988,1988/11/4
2-Sep-85,1985/9/2
monday september 13 1993,1993/9/13
22-Oct-05,2005/10/22
tuesday september 6 1977,1977/9/6
feb 23 1996,1996/2/23
saturday september 18 2010,2010/9/18
29-Jul-81,1981/7/29
26-May-16,2016/5/26
8/23/73,1973/8/23
january 26 1986,1986/1/26
26-Jan-94,1994/1/26
tuesday january 13 1976,1976/1/13
17-Feb-13,2013/2/17
29.08.06,2006/8/29
19.08.17,2017/8/19
2-Oct-15,2015/10/2
18-Apr-12,2012/4/18
13 07 83,1983/7/13
9-Jul-82,1982/7/9
30-Sep-73,1973/9/30
wednesday january 2 1985,1985/1/2
7-Aug-11,2011/8/7
sunday july 21 1985,1985/7/21
wednesday august 15 2012,2012/8/15
saturday february 11 1984,1984/2/11
saturday february 22 1992,1992/2/22
thursday october 3 1985,1985/10/3
sunday august 6 2006,2006/8/6
thursday january 1 1976,1976/1/1
july 9 2016,2016/7/9
monday march 12 2012,2012/3/12
3 01 71,1971/1/3
thursday february 8 1990,1990/2/8
wednesday april 7 2010,2010/4/7
9-Sep-81,1981/9/9
6-Dec-93,1993/12/6
3-Apr-90,1990/4/3
14-Nov-06,2006/11/14
friday january 13 2012,2012/1/13
mar 10 1985,1985/3/10
20-Feb-05,2005/2/20
3-May-83,1983/5/3
26-Aug-04,2004/8/26
22-May-03,2003/5/22
may 4 2011,2011/5/4
sunday february 20 2011,2011/2/20
wednesday august 9 2000,2000/8/9
tuesday june 24 2003,2003/6/24
july 10 1985,1985/7/10
sunday august 9 1970,1970/8/9
02.12.96,1996/12/2
12/26/15,2015/12/26
8 10 89,1989/10/8
friday april 1 2005,2005/4/1
february 21 2012,2012/2/21
monday may 7 2007,2007/5/7
monday december 28 1987,1987/12/28
saturday december 18 1993,1993/12/18
29-Mar-70,1970/3/29
19-Jul-80,1980/7/19
saturday september 9 1972,1972/9/9
tuesday september 6 1988,1988/9/6
12 01 93,1993/1/12
wednesday december 26 1984,1984/12/26
27-Mar-83,1983/3/27
13.07.89,1989/7/13
thursday april 23 2009,2009/4/23
sunday may 8 2016,2016/5/8
23 06 86,1986/6/23
wednesday september 23 1998,1998/9/23
december 22 1974,1974/12/22
tuesday september 29 1981,1981/9/29
wednesday october 6 1999,1999/10/6
january 17 1971,1971/1/17
tuesday july 10 2012,2012/7/10
september 27 2003,2003/9/27
friday january 23 1976,1976/1/23
saturday january 24 1998,1998/1/24
07.08.03,2003/8/7
monday december 18 1972,1972/12/18
wednesday july 3 2002,2002/7/3
monday november 3 1975,1975/11/3
friday september 19 1975,1975/9/19
april 28 1990,1990/4/28
wednesday august 5 1992,1992/8/5
jul 26 1973,1973/7/26
may 26 1971,1971/5/26
tuesday may 11 2010,2010/5/11
sunday june 28 1987,1987/6/28
9-Jan-80,1980/1/9
june 13 1993,1993/6/13
5-Mar-98,1998/3/5
21-Feb-12,2012/2/21
17-Jun-95,1995/6/17
september 30 1985,1985/9/30
wednesday november 7 2001,2001/11/7
thursday may 1 1997,1997/5/1
mar 8 2008,2008/3/8
3-Sep-04,2004/9/3
12-Apr-11,2011/4/12
13-Nov-15,2015/11/13
november 30 1983,1983/11/30
28-Nov-94,1994/11/28
thursday march 12 2015,2015/3/12
january 9 1984,1984/1/9
sunday march 7 1976,1976/3/7
friday august 19 2016,2016/8/19
10-Jun-73,1973/6/10
7-Aug-77,1977/8/7
19.01.15,2015/1/19
tuesday november 21 2017,2017/11/21
sunday november 13 1977,1977/11/13
wednesday april 7 2004,2004/4/7
friday august 18 1995,1995/8/18
28.12.82,1982/12/28
16.02.15,2015/2/16
august 30 2017,2017/8/30
sunday february 28 2016,2016/2/28
18-Aug-08,2008/8/18
02.08.00,2000/8/2
20-Aug-72,1972/8/20
monday march 13 1995,1995/3/13
thursday april 10 1975,1975/4/10
2005/6/2,2002/5/6
tuesday january 27 2009,2009/1/27
18-Oct-86,1986/10/18
21 09 74,1974/9/21
15-Jun-04,2004/6/15
march 7 1982,1982/3/7
thursday may 30 1974,1974/5/30
april 16 1997,1997/4/16
17 06 97,1997/6/17
december 26 1983,1983/12/26
february 20 2014,2014/2/20
21-Oct-96,1996/10/21
saturday august 23 2008,2008/8/23
thursday april 19 1984,1984/4/19
wednesday january 25 1995,1995/1/25
9-Nov-16,2016/11/9
5-Mar-03,2003/3/5
sunday september 6 1987,1987/9/6
september 1 1975,1975/9/1
wednesday march 30 1988,1988/3/30
december 10 2006,2006/12/10
19-Jul-17,2017/7/19
2-May-85,1985/5/2
saturday march 15 2014,2014/3/15
january 23 1996,1996/1/23
12/1/96,1996/12/1
24-Mar-86,1986/3/24
thursday february 15 1990,1990/2/15
monday november 13 1995,1995/11/13
15-Jun-86,1986/6/15
saturday may 23 1987,1987/5/23
thursday december 3 2015,2015/12/3
21-Sep-70,1970/9/21
feb 12 2006,2006/2/12
april 29 1971,1971/4/29
saturday february 9 2002,2002/2/9
september 19 1972,1972/9/19
6-Feb-77,1977/2/6
11/3/86,1986/11/3
01.07.03,2003/7/1
mar 15 1973,1973/3/15
wednesday november 4 1992,1992/11/4
monday august 18 1980,1980/8/18
18.01.06,2006/1/18
14-May-14,2014/5/14
sunday august 1 1993,1993/8/1
20-Mar-98,1998/3/20
22-Oct-72,1972/10/22
thursday january 6 2011,2011/1/6
saturday january 27 1973,1973/1/27
friday december 7 1973,1973/12/7
monday march 8 1971,1971/3/8
25-Feb-09,2009/2/25
monday april 12 2004,2004/4/12
28 09 97,1997/9/28
12-Dec-94,1994/12/12
tuesday april 18 1989,1989/4/18
monday january 27 1986,1986/1/27
30-Mar-01,2001/3/30
30-Jul-11,2011/7/30
friday may 21 1993,1993/5/21
may 17 2012,2012/5/17
august 6 2011,2011/8/6
18 12 82,1982/12/18
10-Jan-70,1970/1/10
april 18 2008,2008/4/18
february 4 1982,1982/2/4
december 25 2014,2014/12/25
12-Feb-85,1985/2/12
tuesday july 4 2017,2017/7/4
27-Jun-86,1986/6/27
20-Jun-82,1982/6/20
july 17 2007,2007/7/17
30-Jul-83,1983/7/30
29-Apr-84,1984/4/29
april 17 2000,2000/4/17
sunday august 9 1992,1992/8/9
5/20/09,2009/5/20
friday july 12 1974,1974/7/12
friday january 9 2015,2015/1/9
december 22 2001,2001/12/22
saturday december 5 1987,1987/12/5
24-Apr-03,2003/4/24
thursday october 3 2013,2013/10/3
september 7 2002,2002/9/7
thursday june 29 2017,2017/6/29
monday august 8 1988,1988/8/8
saturday june 6 2009,2009/6/6
1-Jan-92,1992/1/1
29-Dec-12,2012/12/29
24-Jun-17,2017/6/24
thursday december 11 2014,2014/12/11
6-Feb-88,1988/2/6
thursday september 7 1995,1995/9/7
16.04.12,2012/4/16
saturday february 10 1973,1973/2/10
sunday june 30 1974,1974/6/30
06.03.11,2011/3/6
20-Jun-82,1982/6/20
sunday april 19 1987,1987/4/19
nov 3 1996,1996/11/3
august 13 1986,1986/8/13
23-May-09,2009/5/23
8-Apr-70,1970/4/8
26-Dec-77,1977/12/26
8/14/76,1976/8/14
sunday february 9 1975,1975/2/9
june 26 2013,2013/6/26
saturday november 3 1979,1979/11/3
31-Jan-81,1981/1/31
october 6 1992,1992/10/6
13 10 75,1975/10/13
friday september 13 1985,1985/9/13
30-Jan-17,2017/1/30
monday july 30 1984,1984/7/30
wednesday october 4 2006,2006/10/4
wednesday march 10 2010,2010/3/10
may 29 1977,1977/5/29
17-Oct-04,2004/10/17
9-Sep-91,1991/9/9
saturday may 22 2010,2010/5/22
24-Dec-99,1999/12/24
wednesday april 19 1989,1989/4/19
26-Sep-72,1972/9/26
tuesday february 2 1993,1993/2/2
11/9/87,1987/11/9
thursday december 1 1983,1983/12/1
monday september 21 1970,1970/9/21
4-Jul-09,2009/7/4
tuesday july 2 2002,2002/7/2
6-Jul-01,2001/7/6
wednesday march 21 1984,1984/3/21
wednesday january 22 1975,1975/1/22
tuesday december 16 2014,2014/12/16
monday august 24 1992,1992/8/24
25-Jan-78,1978/1/25
17-Sep-83,1983/9/17
saturday february 4 2017,2017/2/4
january 13 2012,2012/1/13
monday august 7 1995,1995/8/7
15-Oct-00,2000/10/15
14-Jun-00,2000/6/14
6/15/04,2004/6/15
tuesday december 3 1985,1985/12/3
17-Oct-85,1985/10/17
sunday march 27 1994,1994/3/27
monday october 18 1982,1982/10/18
17-Mar-06,2006/3/17
july 20 2003,2003/7/20
wednesday september 17 1997,1997/9/17
tuesday may 15 2012,2012/5/15
31-Aug-84,1984/8/31
wednesday september 22 1999,1999/9/22
sunday september 13 2015,2015/9/13
26.02.01,2001/2/26
25-Oct-03,2003/10/25
november 19 2007,2007/11/19
jun 25 1994,1994/6/25
june 30 1978,1978/6/30
19-Sep-13,2013/9/19
thursday may 15 1975,1975/5/15
sunday july 16 2006,2006/7/16
tuesday june 23 2015,2015/6/23
tuesday march 12 1985,1985/3/12
friday april 15 2011,2011/4/15
saturday july 1 1978,1978/7/1
monday december 27 1982,1982/12/27
saturday december 26 1998,1998/12/26
2008/10/15,2015/8/10
october 19 1989,1989/10/19
10-Dec-74,1974/12/10
tuesday january 30 1979,1979/1/30
friday november 18 1988,1988/11/18
august 27 1994,1994/8/27
01.07.85,1985/7/1
september 14 2015,2015/9/14
30-Aug-82,1982/8/30
9 05 14,2014/5/9
april 10 1990,1990/4/10
18-Aug-14,2014/8/18
thursday april 6 1978,1978/4/6
monday august 10 1970,1970/8/10
thursday june 29 2006,2006/6/29
thursday january 27 1977,1977/1/27
3-Jun-07,2007/6/3
29 10 96,1996/10/29
11.07.11,2011/7/11
tuesday february 14 2012,2012/2/14
tuesday may 31 1988,1988/5/31
friday july 1 1988,1988/7/1
wednesday december 17 1997,1997/12/17
10/4/94,1994/10/4
friday august 20 2010,2010/8/20
oct 16 2013,2013/10/16
sunday november 16 1986,1986/11/16
july 28 1997,1997/7/28
11-Jan-90,1990/1/11
10 10 14,2014/10/10
7-Dec-99,1999/12/7
5-May-87,1987/5/5
wednesday december 5 2007,2007/12/5
4-Feb-75,1975/2/4
2001/5/7,2007/1/5
4-Oct-88,1988/10/4
friday december 30 1988,1988/12/30
28-May-96,1996/5/28
monday january 26 1976,1976/1/26
saturday november 7 1987,1987/11/7
11-Aug-71,1971/8/11
sunday november 8 1992,1992/11/8
friday november 11 2016,2016/11/11
6-Jun-02,2002/6/6
monday august 20 2012,2012/8/20
sunday january 26 1986,1986/1/26
2 06 17,2017/6/2
tuesday february 26 2013,2013/2/26
june 6 1985,1985/6/6
4-Dec-04,2004/12/4
15-Aug-10,2010/8/15
21-Dec-86,1986/12/21
friday july 2 1982,1982/7/2
saturday july 19 2008,2008/7/19
21-Oct-01,2001/10/21
7/18/89,1989/7/18
tuesday october 15 1991,1991/10/15
10/16/92,1992/10/16
december 20 1977,1977/12/20
tuesday october 20 1987,1987/10/20
january 11 1973,1973/1/11
saturday may 11 1991,1991/5/11
thursday march 15 1979,1979/3/15
august 5 1989,1989/8/5
may 1 1985,1985/5/1
26 06 83,1983/6/26
november 10 1978,1978/11/10
tuesday april 11 2000,2000/4/11
thursday may 9 2002,2002/5/9
june 29 2004,2004/6/29
sunday august 6 1995,1995/8/6
june 19 2003,2003/6/19
21-Sep-72,1972/9/21
19-Jan-74,1974/1/19
20-Sep-16,2016/9/20
friday may 29 2009,2009/5/29
saturday december 6 2014,2014/12/6
monday may 3 1976,1976/5/3
17-Dec-08,2008/12/17
02.08.03,2003/8/2
26-Apr-98,1998/4/26
7-Jun-80,1980/6/7
wednesday january 23 2002,2002/1/23
20-Dec-04,2004/12/20
wednesday february 15 1989,1989/2/15
29-May-80,1980/5/29
12-Oct-91,1991/10/12
thursday january 9 2014,2014/1/9
sunday january 29 2006,2006/1/29
thursday august 25 2005,2005/8/25
saturday september 23 2017,2017/9/23
12-Nov-15,2015/11/12
5-Jul-12,2012/7/5
saturday february 9 1991,1991/2/9
28-Oct-10,2010/10/28
saturday july 11 2015,2015/7/11
thursday july 19 1990,1990/7/19
wednesday october 17 1984,1984/10/17
monday october 13 1997,1997/10/13
12-Dec-85,1985/12/12
9-Oct-70,1970/10/9
jan 4 1975,1975/1/4
january 7 1994,1994/1/7
30-Apr-11,2011/4/30
9/16/03,2003/9/16
3/9/93,1993/3/9
4-Dec-97,1997/12/4
jun 24 1984,1984/6/24
31-Dec-02,2002/12/31
jun 23 1998,1998/6/23
monday june 24 2002,2002/6/24
saturday november 28 1987,1987/11/28
30-Sep-73,1973/9/30
december 1 2012,2012/12/1
23-Mar-76,1976/3/23
sunday october 4 1970,1970/10/4
sunday september 20 1970,1970/9/20
sunday april 24 2005,2005/4/24
friday october 22 1971,1971/10/22
tuesday july 31 1990,1990/7/31
27-May-03,2003/5/27
26-Nov-73,1973/11/26
friday may 25 2012,2012/5/25
29-Sep-80,1980/9/29
sunday july 30 2017,2017/7/30
3-Feb-90,1990/2/3
12-Jun-71,1971/6/12
thursday march 26 1987,1987/3/26
29-Nov-98,1998/11/29
wednesday march 5 2014,2014/3/5
23-Jul-84,1984/7/23
1/24/72,1972/1/24
27-Aug-16,2016/8/27
wednesday october 25 1972,1972/10/25
26-Jul-15,2015/7/26
2-Feb-08,2008/2/2
22.05.97,1997/5/22
friday july 9 1971,1971/7/9
saturday november 12 2016,2016/11/12
24-Jul-95,1995/7/24
wednesday march 8 2006,2006/3/8
03.03.80,1980/3/3
30-Aug-11,2011/8/30
tuesday august 29 1995,1995/8/29
saturday june 30 2007,2007/6/30
tuesday november 5 1974,1974/11/5
18-Oct-79,1979/10/18
10-Jul-76,1976/7/10
sunday november 12 2006,2006/11/12
friday november 27 2015,2015/11/27
10-Sep-75,1975/9/10
september 27 1989,1989/9/27
12-Sep-12,2012/9/12
tuesday march 27 1979,1979/3/27
friday june 16 2006,2006/6/16
nov 28 1990,1990/11/28
wednesday december 14 2005,2005/12/14
september 12 1973,1973/9/12
21-Nov-88,1988/11/21
tuesday january 7 1997,1997/1/7
february 12 2012,2012/2/12
9/4/83,1983/9/4
tuesday april 9 1996,1996/4/9
29-Oct-15,2015/10/29
feb 22 1981,1981/2/22
26-Aug-88,1988/8/26
tuesday november 9 1993,1993/11/9
20-Mar-91,1991/3/20
tuesday september 9 2008,2008/9/9
nov 19 1987,1987/11/19
23-Mar-14,2014/3/23
20-Jul-76,1976/7/20
tuesday february 3 1976,1976/2/3
friday october 18 1996,1996/10/18
26-Dec-02,2002/12/26
12-Feb-92,1992/2/12
30-Jun-97,1997/6/30
12.07.96,1996/7/12
friday july 19 1991,1991/7/19
oct 2 1993,1993/10/2
may 27 1989,1989/5/27
11-Feb-81,1981/2/11
07.11.12,2012/11/7
tuesday may 27 1986,1986/5/27
thursday december 2 1993,1993/12/2
14-Sep-06,2006/9/14
sunday june 5 2016,2016/6/5
monday november 11 2013,2013/11/11
sunday march 1 1970,1970/3/1
5 01 08,2008/1/5
5-Apr-73,1973/4/5
september 14 1971,1971/9/14
6-Sep-95,1995/9/6
saturday january 3 2004,2004/1/3
monday november 17 2008,2008/11/17
wednesday december 2 1981,1981/12/2
23-Oct-02,2002/10/23
sunday march 22 1992,1992/3/22
5/13/91,1991/5/13
tuesday june 24 2003,2003/6/24
25-Sep-12,2012/9/25
april 9 2002,2002/4/9
wednesday september 21 1994,1994/9/21
monday august 7 2017,2017/8/7
9 04 84,1984/4/9
18-Nov-72,1972/11/18
sunday august 22 1971,1971/8/22
february 20 1980,1980/2/20
monday september 23 1996,1996/9/23
saturday march 6 2010,2010/3/6
wednesday april 4 2007,2007/4/4
october 30 2015,2015/10/30
sep 7 1971,1971/9/7
monday january 8 1990,1990/1/8
17-Aug-79,1979/8/17
wednesday october 17 2012,2012/10/17
december 19 2005,2005/12/19
7/26/80,1980/7/26
sunday december 29 1974,1974/12/29
july 20 2011,2011/7/20
october 17 1998,1998/10/17
sunday january 23 2011,2011/1/23
monday october 16 1995,1995/10/16
12-Jan-91,1991/1/12
25-Jul-74,1974/7/25
17-Jun-96,1996/6/17
july 23 1987,1987/7/23
3/12/74,1974/3/12
friday january 21 2005,2005/1/21
monday july 15 2013,2013/7/15
friday november 22 2002,2002/11/22
22-Dec-84,1984/12/22
friday august 5 2005,2005/8/5
friday march 9 1979,1979/3/9
tuesday december 27 2016,2016/12/27
friday december 16 2005,2005/12/16
monday july 15 2013,2013/7/15
oct 25 1985,1985/10/25
6-Jul-03,2003/7/6
wednesday august 24 1988,1988/8/24
22-Jan-71,1971/1/22
monday june 20 2005,2005/6/20
monday june 2 1975,1975/6/2
june 3 1993,1993/6/3
sunday march 20 1994,1994/3/20
3-Jan-72,1972/1/3
monday december 2 1974,1974/12/2
tuesday april 6 2004,2004/4/6
february 15 2002,2002/2/15
tuesday october 4 1994,1994/10/4
21-Jan-71,1971/1/21
1-Oct-83,1983/10/1
01.03.83,1983/3/1
monday january 3 1977,1977/1/3
thursday may 1 2014,2014/5/1
monday july 31 2006,2006/7/31
friday june 16 1995,1995/6/16
3-Jan-75,1975/1/3
16.07.77,1977/7/16
tuesday june 13 1978,1978/6/13
thursday july 10 1975,1975/7/10
saturday october 12 1991,1991/10/12
tuesday february 1 1983,1983/2/1
7-Nov-75,1975/11/7
3-Jan-84,1984/1/3
saturday february 12 1994,1994/2/12
wednesday july 19 1995,1995/7/19
8-Oct-02,2002/10/8
10-Oct-10,2010/10/10
sunday june 15 1975,1975/6/15
14-Apr-86,1986/4/14
11-Nov-10,2010/11/11
wednesday july 23 1997,1997/7/23
sunday september 18 2011,2011/9/18
wednesday june 27 1973,1973/6/27
1-Jun-11,2011/6/1
mar 4 1996,1996/3/4
saturday march 15 1997,1997/3/15
1-Oct-94,1994/10/1
6-Nov-78,1978/11/6
tuesday june 5 1984,1984/6/5
november 14 1989,1989/11/14
24 03 02,2002/3/24
saturday may 20 1972,1972/5/20
thursday october 13 1977,1977/10/13
saturday december 6 1986,1986/12/6
tuesday november 3 1987,1987/11/3
tuesday february 19 1980,1980/2/19
monday august 26 2002,2002/8/26
monday april 28 1986,1986/4/28
may 8 1991,1991/5/8
1-Apr-82,1982/4/1
31-Oct-71,1971/10/31
tuesday april 30 1985,1985/4/30
january 27 1974,1974/1/27
tuesday october 25 1977,1977/10/25
24-Nov-80,1980/11/24
sunday october 17 1976,1976/10/17
thursday october 6 2011,2011/10/6
april 18 1974,1974/4/18
monday august 30 2004,2004/8/30
20-Apr-81,1981/4/20
february 26 2000,2000/2/26
14.01.74,1974/1/14
monday december 22 2014,2014/12/22
12/21/00,2000/12/21
october 8 1996,1996/10/8
26 11 13,2013/11/26
saturday august 11 1979,1979/8/11
wednesday june 6 2012,2012/6/6
8/10/72,1972/8/10
30-May-77,1977/5/30
26-Sep-71,1971/9/26
sunday january 2 2000,2000/1/2
sunday may 7 2000,2000/5/7
monday june 11 1973,1973/6/11
friday january 4 1985,1985/1/4
tuesday december 19 2000,2000/12/19
friday november 7 2003,2003/11/7
november 24 1978,1978/11/24
7/24/96,1996/7/24
16-Mar-08,2008/3/16
27-Aug-71,1971/8/27
16-Oct-12,2012/10/16
16.03.72,1972/3/16
friday august 20 1971,1971/8/20
saturday february 7 2009,2009/2/7
saturday may 2 1981,1981/5/2
monday august 8 2005,2005/8/8
8/21/88,1988/8/21
3-Feb-99,1999/2/3
19-Oct-15,2015/10/19
thursday january 17 1985,1985/1/17
november 8 1987,1987/11/8
nov 4 2011,2011/11/4
monday january 4 1988,1988/1/4
1-Jun-87,1987/6/1
15-Feb-75,1975/2/15
september 19 1988,1988/9/19
friday february 15 1974,1974/2/15
9-Jan-77,1977/1/9
4-Oct-84,1984/10/4
thursday december 11 1975,1975/12/11
thursday april 27 1989,1989/4/27
saturday march 10 1973,1973/3/10
monday november 27 1972,1972/11/27
saturday august 2 2008,2008/8/2
30.10.06,2006/10/30
monday july 25 1988,1988/7/25
14-Sep-81,1981/9/14
sunday march 23 2014,2014/3/23
tuesday february 6 1973,1973/2/6
thursday april 11 1974,1974/4/11
19-Mar-17,2017/3/19
jun 8 1973,1973/6/8
february 25 2010,2010/2/25
7-Aug-91,1991/8/7
28-Oct-90,1990/10/28
december 6 1971,1971/12/6
monday may 31 1976,1976/5/31
2-Jan-81,1981/1/2
monday november 14 1994,1994/11/14
10/4/88,1988/10/4
6-Mar-77,1977/3/6
2010/10/3,2003/10/10
10-Nov-94,1994/11/10
thursday april 28 1988,1988/4/28
tuesday november 17 2015,2015/11/17
saturday june 28 1980,1980/6/28
wednesday september 16 1970,1970/9/16
27-Mar-10,2010/3/27
friday september 24 1982,1982/9/24
friday december 8 1978,1978/12/8
23-Jan-82,1982/1/23
wednesday march 26 1986,1986/3/26
6/7/91,1991/6/7
sunday september 11 1994,1994/9/11
24 07 08,2008/7/24
sunday april 26 1998,1998/4/26
6-Nov-02,2002/11/6
mar 4 2001,2001/3/4
16-Jan-81,1981/1/16
21-Sep-02,2002/9/21
30-May-76,1976/5/30
wednesday february 8 1989,1989/2/8
wednesday october 27 2010,2010/10/27
13-May-12,2012/5/13
15 12 07,2007/12/15
monday march 11 1991,1991/3/11
dec 25 2004,2004/12/25
sunday june 24 1984,1984/6/24
5-Feb-12,2012/2/5
thursday august 31 1978,1978/8/31
31-May-82,1982/5/31
30-Oct-02,2002/10/30
4-Feb-01,2001/2/4
25-Apr-76,1976/4/25
7-Mar-71,1971/3/7
24-Jan-18,2018/1/24
25-Sep-76,1976/9/25
thursday december 26 2013,2013/12/26
sunday january 3 1971,1971/1/3
12-Dec-74,1974/12/12
15.09.70,1970/9/15
9-Jul-97,1997/7/9
thursday june 26 1980,1980/6/26
friday september 18 2015,2015/9/18
tuesday november 20 1990,1990/11/20
sunday july 13 2014,2014/7/13
sunday december 24 2017,2017/12/24
3-Mar-86,1986/3/3
23-Nov-83,1983/11/23
31-Dec-91,1991/12/31
thursday july 29 1971,1971/7/29
thursday september 6 2001,2001/9/6
9-Nov-91,1991/11/9
24-Jan-93,1993/1/24
4-Apr-14,2014/4/4
saturday march 25 2017,2017/3/25
november 5 1999,1999/11/5
thursday october 28 1982,1982/10/28
wednesday january 8 1992,1992/1/8
29-May-11,2011/5/29
tuesday june 30 1970,1970/6/30
wednesday march 5 1986,1986/3/5
thursday october 4 1984,1984/10/4
10-Aug-06,2006/8/10
7-Nov-07,2007/11/7
25-Oct-89,1989/10/25
20.12.85,1985/12/20
january 3 1981,1981/1/3
13-Oct-02,2002/10/13
14-Oct-84,1984/10/14
sunday december 15 2002,2002/12/15
saturday may 24 2008,2008/5/24
june 25 1989,1989/6/25
monday december 10 2012,2012/12/10
20-Dec-00,2000/12/20
friday december 29 2000,2000/12/29
25-Jul-91,1991/7/25
28-Mar-99,1999/3/28
26-Aug-03,2003/8/26
tuesday november 6 2001,2001/11/6
march 31 2003,2003/3/31
april 5 1984,1984/4/5
monday january 20 2014,2014/1/20
26 10 97,1997/10/26
mar 21 1993,1993/3/21
sep 8 1996,1996/9/8
january 30 2018,2018/1/30
sunday december 19 1982,1982/12/19
9-Aug-17,2017/8/9
19-Jan-10,2010/1/19
wednesday december 10 1986,1986/12/10
friday november 25 2005,2005/11/25
april 23 1972,1972/4/23
march 19 1975,1975/3/19
22-Nov-04,2004/11/22
31 12 06,2006/12/31
wednesday october 10 1990,1990/10/10
saturday september 12 2009,2009/9/12
tuesday august 12 2008,2008/8/12
5-Oct-78,1978/10/5
thursday november 8 2007,2007/11/8
26-Jan-93,1993/1/26
saturday october 23 1982,1982/10/23
wednesday june 4 1986,1986/6/4
2/11/97,1997/2/11
thursday february 6 2014,2014/2/6
6-Jun-10,2010/6/6
tuesday october 15 1985,1985/10/15
3-May-93,1993/5/3
wednesday july 12 2006,2006/7/12
april 16 1993,1993/4/16
sunday october 18 1970,1970/10/18
6/24/11,2011/6/24
wednesday july 26 1989,1989/7/26
23-Jun-70,1970/6/23
wednesday april 18 2007,2007/4/18
16-Sep-99,1999/9/16
17 02 87,1987/2/17
sunday september 23 2001,2001/9/23
4-Dec-83,1983/12/4
05.04.98,1998/4/5
friday september 8 2017,2017/9/8
saturday april 18 1992,1992/4/18
14-May-05,2005/5/14
saturday march 2 1985,1985/3/2
friday september 23 2011,2011/9/23
monday february 17 1997,1997/2/17
wednesday july 5 2006,2006/7/5
wednesday september 10 1980,1980/9/10
10-Jan-14,2014/1/10
tuesday march 10 2009,2009/3/10
27-Jun-85,1985/6/27
06.02.82,1982/2/6
3-Jan-90,1990/1/3
october 7 1972,1972/10/7
6/28/79,1979/6/28
february 23 1996,1996/2/23
june 13 1996,1996/6/13
monday august 16 2004,2004/8/16
7-Feb-15,2015/2/7
16-Aug-74,1974/8/16
11/27/90,1990/11/27
monday september 27 1971,1971/9/27
2-Jan-13,2013/1/2
friday august 1 1986,1986/8/1
monday february 19 2018,2018/2/19
january 1 1983,1983/1/1
27-Apr-70,1970/4/27
monday november 27 1978,1978/11/27
friday november 12 2004,2004/11/12
tuesday august 7 2012,2012/8/7
thursday december 23 2004,2004/12/23
thursday july 18 2013,2013/7/18
sunday november 15 1970,1970/11/15
september 15 1994,1994/9/15
13-Jan-75,1975/1/13
sunday october 9 1994,1994/10/9
thursday march 31 1994,1994/3/31
august 18 1985,1985/8/18
3-May-72,1972/5/3
25-Mar-04,2004/3/25
thursday august 6 2015,2015/8/6
tuesday october 17 2017,2017/10/17
jun 17 2005,2005/6/17
21-Jun-14,2014/6/21
friday december 21 2001,2001/12/21
